mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
vision_only,natural_photo,0.238000,0.282000,0.254000,0.028000,0.016000
vision_only,medical,0.300000,0.303000,0.289000,0.014000,-0.011000
vision_only,document,0.117000,0.136000,0.136000,0.000000,0.019000
vision_only,infographic,0.140000,0.141000,0.141000,0.000000,0.001000
vision_only,diagram,0.138000,0.138000,0.122000,0.016000,-0.016000
vision_only,chart,0.161000,0.161000,0.161000,0.000000,0.000000
projector_only,natural_photo,0.289000,0.315000,0.279000,0.036000,-0.010000
projector_only,medical,0.296000,0.304000,0.276000,0.028000,-0.020000
projector_only,document,0.156000,0.167000,0.165000,0.002000,0.009000
projector_only,infographic,0.148000,0.159000,0.151000,0.008000,0.003000
projector_only,diagram,0.148000,0.148000,0.137000,0.011000,-0.011000
projector_only,chart,0.166000,0.166000,0.166000,0.000000,0.000000
llm_only,natural_photo,0.481000,0.481000,0.416000,0.065000,-0.065000
llm_only,medical,0.472000,0.472000,0.419000,0.053000,-0.053000
llm_only,document,0.218000,0.237000,0.220000,0.017000,0.002000
llm_only,infographic,0.184000,0.195000,0.195000,0.000000,0.011000
llm_only,diagram,0.273000,0.273000,0.272000,0.001000,-0.001000
llm_only,chart,0.244000,0.244000,0.244000,0.000000,0.000000
