track,mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
standard,vision_only,natural_photo,0.039600,0.086800,0.082400,0.004400,0.042800
standard,vision_only,medical,0.054000,0.170000,0.166000,0.004000,0.112000
standard,vision_only,document,0.016361,0.075747,0.075747,0.000000,0.059386
standard,vision_only,infographic,0.081732,0.102001,0.101017,0.000984,0.019285
standard,vision_only,diagram,0.060000,0.082000,0.082000,0.000000,0.022000
standard,vision_only,chart,0.131774,0.131774,0.131774,0.000000,0.000000
standard,projector_only,natural_photo,0.224700,0.291167,0.291167,0.000000,0.066467
standard,projector_only,medical,0.233000,0.240000,0.224000,0.016000,-0.009000
standard,projector_only,document,0.176261,0.190786,0.183953,0.006833,0.007692
standard,projector_only,infographic,0.187858,0.187858,0.137129,0.050729,-0.050729
standard,projector_only,diagram,0.109000,0.115300,0.115300,0.000000,0.006300
standard,projector_only,chart,0.151852,0.151852,0.151852,0.000000,0.000000
standard,llm_only,natural_photo,0.443500,0.443500,0.390200,0.053300,-0.053300
standard,llm_only,medical,0.451000,0.451000,0.398000,0.053000,-0.053000
standard,llm_only,document,0.288376,0.288376,0.231336,0.057040,-0.057040
standard,llm_only,infographic,0.240940,0.240940,0.176289,0.064651,-0.064651
standard,llm_only,diagram,0.238000,0.238000,0.225000,0.013000,-0.013000
standard,llm_only,chart,0.285497,0.285497,0.285497,0.000000,0.000000
llm_judge,vision_only,natural_photo,0.278100,0.353000,0.337800,0.015200,0.059700
llm_judge,vision_only,medical,0.261500,0.283000,0.281000,0.002000,0.019500
llm_judge,vision_only,document,0.121800,0.137500,0.134700,0.002800,0.012900
llm_judge,vision_only,infographic,0.127600,0.144200,0.144200,0.000000,0.016600
llm_judge,vision_only,diagram,0.109000,0.109000,0.109000,0.000000,0.000000
llm_judge,vision_only,chart,0.150400,0.150400,0.150400,0.000000,0.000000
llm_judge,projector_only,natural_photo,0.357000,0.404100,0.404100,0.000000,0.047100
llm_judge,projector_only,medical,0.294200,0.294200,0.283600,0.010600,-0.010600
llm_judge,projector_only,document,0.158000,0.174400,0.174400,0.000000,0.016400
llm_judge,projector_only,infographic,0.150600,0.158100,0.158100,0.000000,0.007500
llm_judge,projector_only,diagram,0.123700,0.130400,0.130400,0.000000,0.006700
llm_judge,projector_only,chart,0.168900,0.168900,0.168900,0.000000,0.000000
llm_judge,llm_only,natural_photo,0.511800,0.511800,0.446800,0.065000,-0.065000
llm_judge,llm_only,medical,0.487150,0.487150,0.428600,0.058550,-0.058550
llm_judge,llm_only,document,0.220500,0.220900,0.210000,0.010900,-0.010500
llm_judge,llm_only,infographic,0.194000,0.194400,0.187800,0.006600,-0.006200
llm_judge,llm_only,diagram,0.265800,0.265800,0.255000,0.010800,-0.010800
llm_judge,llm_only,chart,0.249600,0.249600,0.249600,0.000000,0.000000
