mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
vision_only,natural_photo,0.039600,0.086800,0.082400,0.004400,0.042800
vision_only,medical,0.054000,0.170000,0.166000,0.004000,0.112000
vision_only,document,0.016361,0.075747,0.075747,0.000000,0.059386
vision_only,infographic,0.081732,0.102001,0.101017,0.000984,0.019285
vision_only,diagram,0.060000,0.082000,0.082000,0.000000,0.022000
vision_only,chart,0.131774,0.131774,0.131774,0.000000,0.000000
projector_only,natural_photo,0.224700,0.291167,0.291167,0.000000,0.066467
projector_only,medical,0.233000,0.240000,0.224000,0.016000,-0.009000
projector_only,document,0.176261,0.190786,0.183953,0.006833,0.007692
projector_only,infographic,0.187858,0.187858,0.137129,0.050729,-0.050729
projector_only,diagram,0.109000,0.115300,0.115300,0.000000,0.006300
projector_only,chart,0.151852,0.151852,0.151852,0.000000,0.000000
llm_only,natural_photo,0.443500,0.443500,0.390200,0.053300,-0.053300
llm_only,medical,0.451000,0.451000,0.398000,0.053000,-0.053000
llm_only,document,0.288376,0.288376,0.231336,0.057040,-0.057040
llm_only,infographic,0.240940,0.240940,0.176289,0.064651,-0.064651
llm_only,diagram,0.238000,0.238000,0.225000,0.013000,-0.013000
llm_only,chart,0.285497,0.285497,0.285497,0.000000,0.000000
