track,mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
standard,vision_only,single_evidence,0.072879,0.182678,0.182678,0.000000,0.109799
standard,vision_only,multi_evidence,0.078453,0.156624,0.156624,0.000000,0.078171
standard,vision_only,cross_region_or_multihop,0.112783,0.141058,0.141058,0.000000,0.028275
standard,vision_only,cross_context,0.182597,0.182597,0.182597,0.000000,0.000000
standard,projector_only,single_evidence,0.248517,0.286634,0.286634,0.000000,0.038117
standard,projector_only,multi_evidence,0.238948,0.238948,0.231688,0.007260,-0.007260
standard,projector_only,cross_region_or_multihop,0.216606,0.227319,0.227319,0.000000,0.010713
standard,projector_only,cross_context,0.298607,0.298607,0.298607,0.000000,0.000000
standard,llm_only,single_evidence,0.438145,0.438145,0.363662,0.074483,-0.074483
standard,llm_only,multi_evidence,0.359815,0.359815,0.328738,0.031077,-0.031077
standard,llm_only,cross_region_or_multihop,0.296059,0.296145,0.296145,0.000000,0.000086
standard,llm_only,cross_context,0.432754,0.432754,0.432754,0.000000,0.000000
standard,llm_projector,single_evidence,0.426846,0.426846,0.358315,0.068531,-0.068531
standard,llm_projector,multi_evidence,0.350164,0.350164,0.320979,0.029185,-0.029185
standard,llm_projector,cross_region_or_multihop,0.308884,0.308884,0.281989,0.026895,-0.026895
standard,llm_projector,cross_context,0.447600,0.447600,0.447600,0.000000,0.000000
llm_judge,vision_only,single_evidence,0.243800,0.272400,0.268800,0.003600,0.025000
llm_judge,vision_only,multi_evidence,0.231700,0.248300,0.245100,0.003200,0.013400
llm_judge,vision_only,cross_region_or_multihop,0.183700,0.183700,0.182800,0.000900,-0.000900
llm_judge,vision_only,cross_context,0.299800,0.299800,0.299800,0.000000,0.000000
llm_judge,projector_only,single_evidence,0.287200,0.299600,0.299600,0.000000,0.012400
llm_judge,projector_only,multi_evidence,0.273700,0.273700,0.255700,0.018000,-0.018000
llm_judge,projector_only,cross_region_or_multihop,0.221600,0.225800,0.225800,0.000000,0.004200
llm_judge,projector_only,cross_context,0.364400,0.364400,0.364400,0.000000,0.000000
llm_judge,llm_only,single_evidence,0.439600,0.439600,0.375400,0.064200,-0.064200
llm_judge,llm_only,multi_evidence,0.380900,0.380900,0.347400,0.033500,-0.033500
llm_judge,llm_only,cross_region_or_multihop,0.309400,0.309400,0.304300,0.005100,-0.005100
llm_judge,llm_only,cross_context,0.474700,0.474700,0.474700,0.000000,0.000000
llm_judge,llm_projector,single_evidence,0.423200,0.423200,0.364300,0.058900,-0.058900
llm_judge,llm_projector,multi_evidence,0.366900,0.366900,0.349100,0.017800,-0.017800
llm_judge,llm_projector,cross_region_or_multihop,0.314300,0.314300,0.289900,0.024400,-0.024400
llm_judge,llm_projector,cross_context,0.483100,0.483100,0.483100,0.000000,0.000000
