mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
vision_only,recognition,0.285000,0.357000,0.357000,0.000000,0.072000
vision_only,counting,0.142000,0.224000,0.224000,0.000000,0.082000
vision_only,medical_reasoning,0.292000,0.294000,0.261000,0.033000,-0.031000
vision_only,knowledge_reasoning,0.223000,0.289000,0.289000,0.000000,0.066000
vision_only,chart_reasoning,0.137000,0.146000,0.096000,0.050000,-0.041000
vision_only,document_reasoning,0.102000,0.138000,0.138000,0.000000,0.036000
vision_only,text_reading,0.241000,0.311000,0.311000,0.000000,0.070000
vision_only,diagram_reasoning,0.124000,0.131000,0.131000,0.000000,0.007000
vision_only,relation,0.323000,0.369000,0.369000,0.000000,0.046000
vision_only,attribute,0.440000,0.440000,0.440000,0.000000,0.000000
projector_only,recognition,0.347000,0.442000,0.440000,0.002000,0.093000
projector_only,counting,0.279000,0.280000,0.240000,0.040000,-0.039000
projector_only,medical_reasoning,0.306000,0.306000,0.266000,0.040000,-0.040000
projector_only,knowledge_reasoning,0.363000,0.366000,0.344000,0.022000,-0.019000
projector_only,chart_reasoning,0.168000,0.168000,0.129000,0.039000,-0.039000
projector_only,document_reasoning,0.134000,0.162000,0.162000,0.000000,0.028000
projector_only,text_reading,0.338000,0.361000,0.347000,0.014000,0.009000
projector_only,diagram_reasoning,0.150000,0.154000,0.154000,0.000000,0.004000
projector_only,relation,0.426000,0.426000,0.411000,0.015000,-0.015000
projector_only,attribute,0.481000,0.481000,0.481000,0.000000,0.000000
llm_only,recognition,0.581000,0.581000,0.506000,0.075000,-0.075000
llm_only,counting,0.353000,0.356000,0.294000,0.062000,-0.059000
llm_only,medical_reasoning,0.430000,0.439000,0.398000,0.041000,-0.032000
llm_only,knowledge_reasoning,0.458000,0.458000,0.388000,0.070000,-0.070000
llm_only,chart_reasoning,0.250000,0.259000,0.181000,0.078000,-0.069000
llm_only,document_reasoning,0.172000,0.195000,0.195000,0.000000,0.023000
llm_only,text_reading,0.383000,0.389000,0.360000,0.029000,-0.023000
llm_only,diagram_reasoning,0.263000,0.263000,0.259000,0.004000,-0.004000
llm_only,relation,0.456000,0.456000,0.433000,0.023000,-0.023000
llm_only,attribute,0.555000,0.555000,0.555000,0.000000,0.000000
