track,mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
standard,vision_only,recognition,0.088300,0.361704,0.358320,0.003384,0.270020
standard,vision_only,counting,0.061203,0.206500,0.206400,0.000100,0.145197
standard,vision_only,medical_reasoning,0.167000,0.204000,0.188000,0.016000,0.021000
standard,vision_only,knowledge_reasoning,0.128518,0.254232,0.254232,0.000000,0.125714
standard,vision_only,chart_reasoning,0.147038,0.159224,0.142254,0.016970,-0.004784
standard,vision_only,document_reasoning,0.106265,0.147687,0.147687,0.000000,0.041422
standard,vision_only,text_reading,0.200663,0.263460,0.263460,0.000000,0.062797
standard,vision_only,diagram_reasoning,0.092746,0.095919,0.095919,0.000000,0.003173
standard,vision_only,relation,0.319914,0.333050,0.333050,0.000000,0.013136
standard,vision_only,attribute,0.458733,0.458733,0.458733,0.000000,0.000000
standard,projector_only,recognition,0.355413,0.446604,0.446604,0.000000,0.091191
standard,projector_only,counting,0.253377,0.269900,0.269800,0.000100,0.016423
standard,projector_only,medical_reasoning,0.241000,0.241000,0.192000,0.049000,-0.049000
standard,projector_only,knowledge_reasoning,0.310664,0.325375,0.314864,0.010511,0.004200
standard,projector_only,chart_reasoning,0.183540,0.186489,0.153129,0.033360,-0.030411
standard,projector_only,document_reasoning,0.207095,0.217060,0.192865,0.024195,-0.014230
standard,projector_only,text_reading,0.321100,0.321897,0.318794,0.003103,-0.002306
standard,projector_only,diagram_reasoning,0.123290,0.124098,0.119992,0.004106,-0.003298
standard,projector_only,relation,0.382094,0.382094,0.379565,0.002529,-0.002529
standard,projector_only,attribute,0.489800,0.489800,0.489800,0.000000,0.000000
standard,llm_only,recognition,0.556150,0.556150,0.446495,0.109655,-0.109655
standard,llm_only,counting,0.352700,0.352700,0.211036,0.141664,-0.141664
standard,llm_only,medical_reasoning,0.391000,0.393000,0.336000,0.057000,-0.055000
standard,llm_only,knowledge_reasoning,0.436675,0.436675,0.358075,0.078600,-0.078600
standard,llm_only,chart_reasoning,0.273827,0.282804,0.196303,0.086501,-0.077524
standard,llm_only,document_reasoning,0.275348,0.275348,0.196264,0.079084,-0.079084
standard,llm_only,text_reading,0.386290,0.386290,0.298046,0.088244,-0.088244
standard,llm_only,diagram_reasoning,0.215983,0.215983,0.211456,0.004527,-0.004527
standard,llm_only,relation,0.436531,0.436531,0.400678,0.035853,-0.035853
standard,llm_only,attribute,0.528900,0.528900,0.528900,0.000000,0.000000
llm_judge,vision_only,recognition,0.358900,0.418200,0.409800,0.008400,0.050900
llm_judge,vision_only,counting,0.161500,0.221100,0.213900,0.007200,0.052400
llm_judge,vision_only,medical_reasoning,0.266500,0.271000,0.240500,0.030500,-0.026000
llm_judge,vision_only,knowledge_reasoning,0.342200,0.368900,0.362400,0.006500,0.020200
llm_judge,vision_only,chart_reasoning,0.136700,0.140100,0.126600,0.013500,-0.010100
llm_judge,vision_only,document_reasoning,0.114700,0.126400,0.120000,0.006400,0.005300
llm_judge,vision_only,text_reading,0.291900,0.295800,0.295800,0.000000,0.003900
llm_judge,vision_only,diagram_reasoning,0.119400,0.119400,0.119000,0.000400,-0.000400
llm_judge,vision_only,relation,0.379500,0.397400,0.397400,0.000000,0.017900
llm_judge,vision_only,attribute,0.527500,0.527500,0.527500,0.000000,0.000000
llm_judge,projector_only,recognition,0.428700,0.491700,0.491700,0.000000,0.063000
llm_judge,projector_only,counting,0.265800,0.277800,0.277800,0.000000,0.012000
llm_judge,projector_only,medical_reasoning,0.287500,0.287500,0.249800,0.037700,-0.037700
llm_judge,projector_only,knowledge_reasoning,0.436900,0.436900,0.429900,0.007000,-0.007000
llm_judge,projector_only,chart_reasoning,0.150500,0.161200,0.137000,0.024200,-0.013500
llm_judge,projector_only,document_reasoning,0.148900,0.156200,0.149700,0.006500,0.000800
llm_judge,projector_only,text_reading,0.344600,0.348700,0.346600,0.002100,0.002000
llm_judge,projector_only,diagram_reasoning,0.150200,0.150600,0.150600,0.000000,0.000400
llm_judge,projector_only,relation,0.439900,0.440900,0.440900,0.000000,0.001000
llm_judge,projector_only,attribute,0.560400,0.560400,0.560400,0.000000,0.000000
llm_judge,llm_only,recognition,0.617500,0.617500,0.510500,0.107000,-0.107000
llm_judge,llm_only,counting,0.360400,0.360900,0.228100,0.132800,-0.132300
llm_judge,llm_only,medical_reasoning,0.450700,0.450700,0.370900,0.079800,-0.079800
llm_judge,llm_only,knowledge_reasoning,0.530700,0.537400,0.454600,0.082800,-0.076100
llm_judge,llm_only,chart_reasoning,0.240800,0.247100,0.182900,0.064200,-0.057900
llm_judge,llm_only,document_reasoning,0.188200,0.190000,0.145800,0.044200,-0.042400
llm_judge,llm_only,text_reading,0.397700,0.397700,0.308000,0.089700,-0.089700
llm_judge,llm_only,diagram_reasoning,0.252800,0.252800,0.244070,0.008730,-0.008730
llm_judge,llm_only,relation,0.478900,0.478900,0.445600,0.033300,-0.033300
llm_judge,llm_only,attribute,0.564500,0.564500,0.564500,0.000000,0.000000
