mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
vision_only,natural_photo,0.251000,0.298000,0.266000,0.032000,0.015000
vision_only,medical,0.299000,0.299000,0.291000,0.008000,-0.008000
vision_only,document,0.123000,0.152000,0.152000,0.000000,0.029000
vision_only,infographic,0.156000,0.156000,0.139000,0.017000,-0.017000
vision_only,diagram,0.134000,0.134000,0.132000,0.002000,-0.002000
vision_only,chart,0.173000,0.173000,0.173000,0.000000,0.000000
projector_only,natural_photo,0.293000,0.323000,0.278000,0.045000,-0.015000
projector_only,medical,0.309000,0.309000,0.291000,0.018000,-0.018000
projector_only,document,0.162000,0.179000,0.172000,0.007000,0.010000
projector_only,infographic,0.159000,0.165000,0.161000,0.004000,0.002000
projector_only,diagram,0.150000,0.150000,0.146000,0.004000,-0.004000
projector_only,chart,0.171000,0.171000,0.171000,0.000000,0.000000
llm_only,natural_photo,0.474000,0.474000,0.411000,0.063000,-0.063000
llm_only,medical,0.463000,0.463000,0.442000,0.021000,-0.021000
llm_only,document,0.221000,0.224000,0.199000,0.025000,-0.022000
llm_only,infographic,0.205000,0.205000,0.177000,0.028000,-0.028000
llm_only,diagram,0.256000,0.259000,0.259000,0.000000,0.003000
llm_only,chart,0.296000,0.296000,0.296000,0.000000,0.000000
