track,mode,task,score_at_learning,best_after_learning,final_score,forgetting,final_minus_learning
standard,vision_only,natural_photo,0.059600,0.132533,0.108433,0.024100,0.048833
standard,vision_only,medical,0.113000,0.216000,0.216000,0.000000,0.103000
standard,vision_only,document,0.019062,0.095533,0.095533,0.000000,0.076471
standard,vision_only,infographic,0.118336,0.136846,0.128046,0.008800,0.009710
standard,vision_only,diagram,0.079000,0.091000,0.091000,0.000000,0.012000
standard,vision_only,chart,0.139990,0.139990,0.139990,0.000000,0.000000
standard,projector_only,natural_photo,0.260500,0.307100,0.297767,0.009333,0.037267
standard,projector_only,medical,0.247000,0.247000,0.239000,0.008000,-0.008000
standard,projector_only,document,0.192568,0.202450,0.202450,0.000000,0.009882
standard,projector_only,infographic,0.197870,0.197870,0.144986,0.052884,-0.052884
standard,projector_only,diagram,0.117000,0.117000,0.114000,0.003000,-0.003000
standard,projector_only,chart,0.172921,0.172921,0.172921,0.000000,0.000000
standard,llm_only,natural_photo,0.432945,0.432945,0.380943,0.052002,-0.052002
standard,llm_only,medical,0.437000,0.437000,0.410000,0.027000,-0.027000
standard,llm_only,document,0.280735,0.280735,0.234188,0.046547,-0.046547
standard,llm_only,infographic,0.247739,0.247739,0.178344,0.069395,-0.069395
standard,llm_only,diagram,0.198000,0.216000,0.216000,0.000000,0.018000
standard,llm_only,chart,0.321821,0.321821,0.321821,0.000000,0.000000
llm_judge,vision_only,natural_photo,0.331900,0.366300,0.355000,0.011300,0.023100
llm_judge,vision_only,medical,0.282600,0.290000,0.290000,0.000000,0.007400
llm_judge,vision_only,document,0.128700,0.144100,0.144100,0.000000,0.015400
llm_judge,vision_only,infographic,0.128400,0.142300,0.142300,0.000000,0.013900
llm_judge,vision_only,diagram,0.116100,0.116100,0.114400,0.001700,-0.001700
llm_judge,vision_only,chart,0.165400,0.165400,0.165400,0.000000,0.000000
llm_judge,projector_only,natural_photo,0.363200,0.412500,0.412500,0.000000,0.049300
llm_judge,projector_only,medical,0.302600,0.302600,0.296100,0.006500,-0.006500
llm_judge,projector_only,document,0.164800,0.185500,0.185500,0.000000,0.020700
llm_judge,projector_only,infographic,0.160400,0.168000,0.168000,0.000000,0.007600
llm_judge,projector_only,diagram,0.135900,0.136600,0.136600,0.000000,0.000700
llm_judge,projector_only,chart,0.175800,0.175800,0.175800,0.000000,0.000000
llm_judge,llm_only,natural_photo,0.496500,0.496500,0.448400,0.048100,-0.048100
llm_judge,llm_only,medical,0.476450,0.476450,0.456450,0.020000,-0.020000
llm_judge,llm_only,document,0.215000,0.216000,0.190800,0.025200,-0.024200
llm_judge,llm_only,infographic,0.207500,0.207500,0.177700,0.029800,-0.029800
llm_judge,llm_only,diagram,0.238700,0.256300,0.256300,0.000000,0.017600
llm_judge,llm_only,chart,0.294600,0.294600,0.294600,0.000000,0.000000
